0,0.382683,0.707107,0.92388,1,0.92388,0.707107,0.382683,1.22465e-16,-0.382683,-0.707107,-0.92388,-1,-0.92388,-0.707107
-0.00541196,0.373645,0.694071,0.914017,0.998478,0.930929,0.717989,0.390557,1.25394e-16,-0.390557,-0.717989,-0.930929,-0.998478,-0.914017,-0.669505
-0.0104897,0.364891,0.681346,0.903967,0.99643,0.937635,0.728969,0.398689,1.27899e-16,-0.398689,-0.728969,-0.937635,-0.99643,-0.90302,-0.634578
-0.0152455,0.356413,0.66893,0.893765,0.993869,0.943973,0.74003,0.407087,1.30531e-16,-0.407087,-0.74003,-0.943973,-0.99383,-0.891058,-0.602125
-0.0196928,0.348201,0.65682,0.883442,0.990809,0.949921,0.751156,0.41576,1.33297e-16,-0.41576,-0.751156,-0.949919,-0.99066,-0.878289,-0.571956
-0.023845,0.340247,0.645014,0.873029,0.987269,0.955456,0.762328,0.424715,1.36206e-16,-0.424715,-0.762328,-0.955449,-0.986912,-0.864858,-0.543896
-0.0277162,0.332542,0.633507,0.862554,0.983265,0.960559,0.773527,0.433962,1.39266e-16,-0.433962,-0.773527,-0.960538,-0.982582,-0.850895,-0.517781
-0.0313204,0.325078,0.622295,0.852043,0.978819,0.965212,0.784731,0.443508,1.1992e-11,-0.443508,-0.78473,-0.965163,-0.977679,-0.836522,-0.49346
-0.0346715,0.317846,0.611373,0.84152,0.973954,0.969397,0.795917,0.453362,9.55411e-11,-0.453362,-0.795915,-0.969304,-0.972211,-0.821845,-0.470793
-0.0377832,0.310839,0.600734,0.831008,0.968692,0.973102,0.807062,0.46353,4.28126e-10,-0.46353,-0.807056,-0.972939,-0.966199,-0.80696,-0.44965
-0.040669,0.304049,0.590373,0.820526,0.963058,0.976312,0.818138,0.47402,1.42094e-09,-0.47402,-0.818127,-0.976051,-0.959662,-0.791953,-0.429911
-0.0433417,0.29747,0.580283,0.810094,0.957077,0.979019,0.829121,0.484841,3.89032e-09,-0.48484,-0.8291,-0.978625,-0.952628,-0.776899,-0.411467
-0.045814,0.291092,0.570457,0.799727,0.950774,0.981216,0.839981,0.495997,9.29455e-09,-0.495996,-0.839946,-0.980648,-0.945125,-0.761864,-0.394218
-0.048098,0.284911,0.560888,0.78944,0.944175,0.982896,0.850691,0.507497,2.00449e-08,-0.507495,-0.850635,-0.982109,-0.937186,-0.746904,-0.378069
-0.050205,0.278919,0.551571,0.779246,0.937307,0.984058,0.861219,0.519345,3.98997e-08,-0.519342,-0.861135,-0.983001,-0.928844,-0.732068,-0.362937
-0.0521463,0.273109,0.542497,0.769157,0.930195,0.984702,0.871535,0.531547,7.44487e-08,-0.531542,-0.871413,-0.983321,-0.920134,-0.717398,-0.348744
-0.0539322,0.267475,0.53366,0.759182,0.922864,0.984831,0.881609,0.544109,1.31696e-07,-0.5441,-0.881436,-0.983067,-0.911092,-0.702929,-0.335417
-0.0555726,0.262011,0.525054,0.74933,0.915339,0.984448,0.891408,0.557033,2.22745e-07,-0.557019,-0.89117,-0.982242,-0.901755,-0.68869,-0.322892
-0.0570769,0.256712,0.51667,0.739608,0.907645,0.983563,0.900901,0.570323,3.62596e-07,-0.570303,-0.900582,-0.980851,-0.892157,-0.674705,-0.311108
